"deciles","rate","gap","severity","model","ciudad","fecha"
"Decil 3",100,0.134055513194765,0.0223139150239842,"CoRD","BOGOTÁ D.C.",17836
"Decil 4",25.4901960784314,0.00316592118899706,5.00128498133109e-05,"CoRD","BOGOTÁ D.C.",17836
"Decil 5",0,0,0,"CoRD","BOGOTÁ D.C.",17836
"Decil 6",0,0,0,"CoRD","BOGOTÁ D.C.",17836
"Decil 7",0,0,0,"CoRD","BOGOTÁ D.C.",17836
"Decil 8",0,0,0,"CoRD","BOGOTÁ D.C.",17836
"Decil 9",0,0,0,"CoRD","BOGOTÁ D.C.",17836
"Decil 10",0,0,0,"CoRD","BOGOTÁ D.C.",17836
"Decil 1",18.8034188034188,0.117684028290226,0.101447500468006,"CoCA","BOGOTÁ D.C.",17866
"Decil 2",0,0,0,"CoCA","BOGOTÁ D.C.",17866
"Decil 3",0,0,0,"CoCA","BOGOTÁ D.C.",17866
"Decil 4",0,0,0,"CoCA","BOGOTÁ D.C.",17866
"Decil 5",0,0,0,"CoCA","BOGOTÁ D.C.",17866
"Decil 6",0,0,0,"CoCA","BOGOTÁ D.C.",17866
"Decil 7",0,0,0,"CoCA","BOGOTÁ D.C.",17866
"Decil 8",0,0,0,"CoCA","BOGOTÁ D.C.",17866
"Decil 9",0,0,0,"CoCA","BOGOTÁ D.C.",17866
"Decil 10",0,0,0,"CoCA","BOGOTÁ D.C.",17866
"Decil 1",88.034188034188,0.340919790758627,0.214155857721432,"CoNA","BOGOTÁ D.C.",17866
"Decil 2",0,0,0,"CoNA","BOGOTÁ D.C.",17866
"Decil 3",0,0,0,"CoNA","BOGOTÁ D.C.",17866
"Decil 4",0,0,0,"CoNA","BOGOTÁ D.C.",17866
"Decil 5",0,0,0,"CoNA","BOGOTÁ D.C.",17866
"Decil 6",0,0,0,"CoNA","BOGOTÁ D.C.",17866
"Decil 7",0,0,0,"CoNA","BOGOTÁ D.C.",17866
"Decil 8",0,0,0,"CoNA","BOGOTÁ D.C.",17866
"Decil 9",0,0,0,"CoNA","BOGOTÁ D.C.",17866
"Decil 10",0,0,0,"CoNA","BOGOTÁ D.C.",17866
"Decil 1",100,0.636172657239941,0.435059006947489,"CoRD","BOGOTÁ D.C.",17866
"Decil 2",100,0.29004245475532,0.0920673912170899,"CoRD","BOGOTÁ D.C.",17866
"Decil 3",100,0.110648144004795,0.0158119021488717,"CoRD","BOGOTÁ D.C.",17866
"Decil 4",12.8205128205128,0.00225342485068623,4.69118841249388e-05,"CoRD","BOGOTÁ D.C.",17866
"Decil 5",0,0,0,"CoRD","BOGOTÁ D.C.",17866
"Decil 6",0,0,0,"CoRD","BOGOTÁ D.C.",17866
"Decil 7",0,0,0,"CoRD","BOGOTÁ D.C.",17866
"Decil 8",0,0,0,"CoRD","BOGOTÁ D.C.",17866
"Decil 9",0,0,0,"CoRD","BOGOTÁ D.C.",17866
"Decil 10",0,0,0,"CoRD","BOGOTÁ D.C.",17866
